R2,MSE,max_depth,max_iter,max_features,learning_rate,max_leaf_nodes,min_samples_leaf,rank R2,rank MSE
0.7484332339156042,-2.452987398046401,None,1200,0.5,0.03,31,60,1,1
0.7480095566137658,-2.457181393756874,None,1000,0.4,0.04,31,60,2,2
0.7478884304639453,-2.4582779364623857,None,1400,0.4,0.01,31,60,3,3
0.7478616785960783,-2.458545338239743,None,1000,0.4,0.05,31,80,4,4
0.7478141401328398,-2.4590795307361075,None,1400,0.5,0.03,31,60,5,6
0.7478128236395842,-2.4590352604489505,None,1300,0.4,0.04,31,80,6,5
0.74779986897758,-2.459218235480358,None,1100,0.4,0.02,31,70,7,7
0.7477852650529626,-2.459294952090144,None,1300,0.4,0.02,31,60,8,8
0.7477756696054154,-2.4594576612500774,None,1000,0.5,0.060000000000000005,31,50,9,9
0.7477613786663431,-2.4595126284567796,None,1400,0.4,0.02,31,80,10,10
