R2,MSE,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap,rank R2,rank MSE
0.735052699781716,-2.5835130180924644,662,0.5,45,14,1,True,1,1
0.7350458635053388,-2.5835943951713936,650,0.5,45,14,1,True,2,3
0.7350441051391856,-2.5835793940951595,650,0.5,45,16,1,True,3,2
0.7349872464413295,-2.5841183845791007,700,0.5,45,14,1,True,4,4
0.7349579172505993,-2.5844090566352187,687,0.5,45,14,1,True,5,5
0.7349479555405616,-2.5845407848404482,700,0.5,45,15,1,True,6,6
0.7349101125878577,-2.5848961388798752,687,0.5,45,16,1,True,7,7
0.7348765481516761,-2.585238377369613,675,0.5,45,14,1,True,8,8
0.7348652962397971,-2.5853354964424415,675,0.5,45,16,1,True,9,9
0.7348566135483787,-2.585427344733019,675,0.5,45,15,1,True,10,10
