Model,Best_r2_components,Best_r2_score,Best_mse_components,Best_mse_score
Dummy,1,-1.2508957163293033e-05,1,-1.0000045400606807
RandomForest,30,0.7089058983531361,30,-0.2911177458436883
SVR,30,0.7505227276642026,30,-0.24950631833679995
GradientBoosting,30,0.7357278807745863,30,-0.2642875012387095
